iter	RMSE
0	11767.26307
1	11405.45347
2	11099.84064
3	10788.16034
4	10480.52891
5	10179.48927
6	9893.234912
7	9628.708373
8	9390.868993
9	9145.671393
10	8920.037339
11	8683.913787
12	8479.125508
13	8268.363481
14	8072.700455
15	7878.551443
16	7702.627703
17	7562.04664
18	7401.481805
19	7283.831756
20	7143.059704
21	6996.228165
22	6879.662092
23	6746.234199
24	6623.634431
25	6507.765226
26	6396.955422
27	6286.95667
28	6186.682248
29	6085.829459
30	6022.765654
31	5942.239604
32	5864.784976
33	5783.114723
34	5719.629299
35	5647.547792
36	5585.226292
37	5524.501515
38	5462.598369
39	5402.658572
40	5350.213401
41	5298.846856
42	5246.7111
43	5197.322954
44	5160.423181
45	5119.01657
46	5085.052358
47	5046.941563
48	5013.465277
49	4981.10773
50	4945.453828
51	4911.575676
52	4879.001586
53	4852.840015
54	4821.799398
55	4792.81995
56	4771.05226
57	4744.988655
58	4721.753295
59	4699.343713
60	4677.26999
61	4655.857543
62	4637.252904
63	4620.076994
64	4608.598243
65	4594.214265
66	4578.08415
67	4561.367162
68	4546.576983
69	4531.730655
70	4518.266029
71	4504.294757
72	4494.190367
73	4482.250059
74	4470.074475
75	4461.121042
76	4449.740351
77	4439.610704
78	4429.881334
79	4421.277796
80	4412.24421
81	4404.471545
82	4396.143153
83	4387.624483
84	4380.628433
85	4374.883725
86	4368.491954
87	4361.232002
88	4354.077829
89	4347.406921
90	4339.857185
91	4334.5868
92	4329.236636
93	4321.887047
94	4317.11087
95	4313.30234
96	4312.307431
97	4306.168812
98	4299.206167
99	4293.809607
100	4287.007042
101	4282.755164
102	4277.544925
103	4271.817438
104	4265.795237
105	4262.60223
106	4259.304908
107	4252.353137
108	4251.221124
109	4246.44423
110	4237.364422
111	4234.322659
112	4230.430661
113	4226.020869
114	4222.500692
115	4216.654826
116	4213.44482
117	4209.524904
118	4205.07172
119	4202.789512
120	4197.09453
121	4194.495051
122	4190.336247
123	4187.035974
124	4184.247125
125	4182.237834
126	4180.175506
127	4174.546324
128	4170.934818
129	4166.839007
130	4163.132581
131	4158.831331
132	4154.790534
133	4152.279838
134	4148.623057
135	4146.622545
136	4143.166091
137	4139.966114
138	4134.200385
139	4130.646483
140	4127.569091
141	4123.276196
142	4117.417648
143	4114.717802
144	4108.897919
145	4106.191129
146	4102.325714
147	4096.771168
148	4094.885334
149	4093.165677
150	4089.250627
151	4086.589769
152	4084.362809
153	4080.304036
154	4078.81704
155	4075.055517
156	4070.596523
157	4068.241109
158	4065.635017
159	4060.834882
160	4058.694424
161	4055.091014
162	4051.552742
163	4049.231489
164	4048.100734
165	4045.704448
166	4042.892799
167	4040.428772
