iter	Passed	Remaining
0	135	135579
1	138	69194
2	139	46501
3	141	35265
4	142	28377
5	143	23811
6	144	20556
7	145	18095
8	146	16138
9	147	14578
10	148	13327
11	148	12245
12	149	11346
13	150	10603
14	151	9948
15	151	9345
16	152	8833
17	153	8380
18	154	7973
19	154	7579
20	155	7248
21	156	6947
22	157	6672
23	157	6419
24	158	6178
25	159	5966
26	159	5755
27	160	5574
28	161	5406
29	162	5250
30	162	5084
31	163	4945
32	164	4815
33	165	4691
34	165	4561
35	166	4458
36	167	4357
37	168	4259
38	169	4166
39	169	4076
40	170	3992
41	171	3911
42	172	3833
43	173	3759
44	173	3689
45	174	3621
46	175	3557
47	176	3496
48	177	3439
49	177	3376
50	178	3322
51	179	3270
52	180	3219
53	180	3170
54	181	3123
55	182	3077
56	182	3027
57	183	2985
58	184	2943
59	185	2904
60	186	2865
61	186	2828
62	187	2792
63	188	2758
64	188	2717
65	189	2684
66	190	2653
67	191	2622
68	192	2592
69	192	2563
70	193	2534
71	194	2507
72	195	2480
73	196	2454
74	196	2428
75	197	2400
76	198	2377
77	199	2353
78	199	2330
79	200	2308
80	201	2285
81	202	2264
82	203	2243
83	203	2222
84	204	2202
85	205	2182
86	206	2164
87	207	2148
88	208	2130
89	209	2114
90	210	2098
91	210	2081
92	211	2065
93	212	2048
94	213	2032
95	213	2013
96	214	1992
97	214	1977
98	215	1962
99	216	1948
100	217	1933
101	218	1919
102	218	1905
103	219	1892
104	220	1880
105	221	1870
106	222	1860
107	224	1854
108	225	1839
109	226	1829
110	227	1818
111	228	1808
112	229	1798
113	229	1787
114	230	1775
115	231	1764
116	232	1754
117	233	1743
118	234	1732
119	234	1722
120	235	1714
121	236	1704
122	238	1697
123	239	1689
124	240	1681
125	241	1672
126	242	1664
127	243	1655
128	244	1647
129	244	1638
130	245	1629
131	246	1620
132	247	1611
133	247	1602
134	248	1594
135	249	1586
136	250	1579
137	251	1570
138	252	1562
139	253	1554
140	253	1546
141	254	1539
142	255	1531
143	256	1524
144	257	1516
145	258	1509
146	258	1501
147	259	1494
148	260	1486
149	260	1478
150	261	1471
151	262	1465
152	263	1458
153	264	1451
154	265	1445
155	265	1438
156	266	1432
157	267	1425
158	268	1419
159	269	1412
160	269	1406
161	270	1400
162	271	1394
163	272	1388
164	272	1381
165	273	1375
166	274	1369
167	275	1363
168	276	1358
169	276	1352
170	277	1346
171	278	1340
172	279	1335
173	280	1330
174	281	1324
175	282	1321
176	283	1317
177	284	1313
178	285	1309
179	286	1304
180	287	1301
181	288	1294
182	289	1290
183	289	1285
184	290	1280
185	291	1275
186	292	1270
187	293	1265
188	293	1261
189	294	1256
190	295	1252
191	296	1247
192	297	1242
193	298	1238
194	298	1233
195	299	1229
196	300	1224
197	301	1220
198	302	1215
199	302	1211
200	303	1207
201	304	1203
202	305	1198
203	306	1194
204	307	1190
205	307	1186
206	308	1182
207	309	1178
208	310	1175
209	311	1172
210	312	1169
211	313	1166
212	314	1163
213	315	1160
214	316	1156
215	317	1153
216	318	1149
217	319	1146
218	320	1142
219	321	1138
220	321	1134
221	322	1130
222	323	1127
223	324	1123
224	325	1119
225	325	1116
226	326	1112
227	327	1108
228	328	1105
229	329	1101
230	329	1098
231	330	1094
232	331	1091
233	332	1088
234	333	1085
235	334	1082
236	335	1078
237	335	1075
238	336	1072
239	337	1068
240	338	1065
241	339	1062
242	340	1059
243	341	1057
244	342	1055
245	343	1052
246	344	1050
247	345	1047
248	346	1044
249	347	1042
250	348	1039
251	349	1036
252	350	1033
253	350	1030
254	351	1027
255	352	1024
256	353	1021
257	353	1018
258	354	1014
259	355	1011
260	356	1008
261	356	1005
262	357	1002
263	358	999
264	359	996
265	360	993
266	361	991
267	361	988
268	362	985
269	363	982
270	364	979
271	365	976
272	365	974
273	366	971
274	367	968
275	368	965
276	368	963
277	369	960
278	370	957
279	371	954
280	372	952
281	372	949
282	373	946
283	374	944
284	375	941
285	376	938
286	376	936
287	377	933
288	378	931
289	379	928
290	379	925
291	380	923
292	381	920
293	382	918
294	383	915
295	383	913
296	384	911
297	385	909
298	387	907
299	388	905
300	389	903
301	390	901
302	391	899
303	392	897
304	392	895
305	393	893
306	394	890
307	395	888
308	396	885
309	396	883
310	397	881
311	398	878
312	399	876
313	400	874
314	401	872
315	401	869
316	402	867
317	403	865
318	404	862
319	404	860
320	405	858
321	406	856
322	407	853
323	408	851
324	408	849
325	409	847
326	410	844
327	411	842
328	412	840
329	413	838
330	414	837
331	415	836
332	416	834
333	417	832
334	418	830
335	419	829
336	420	827
337	421	825
338	422	823
339	423	821
340	423	819
341	424	817
342	425	814
343	426	812
344	427	810
345	428	809
346	428	806
347	429	804
348	430	802
349	431	800
350	431	798
351	432	796
352	433	794
353	434	792
354	435	790
355	435	788
356	436	786
357	437	784
358	438	783
359	439	781
360	440	779
361	441	777
362	441	775
363	442	773
364	443	771
365	444	769
366	445	767
367	445	765
368	446	763
369	447	762
370	448	760
371	449	758
372	449	756
373	450	754
374	451	752
375	452	750
376	453	748
377	453	746
378	454	744
379	455	743
380	456	741
381	457	739
382	457	737
383	458	736
384	460	734
385	461	733
386	462	732
387	463	730
388	464	729
389	465	727
390	466	725
391	466	724
392	467	722
393	468	720
394	469	718
395	470	716
396	470	715
397	471	713
398	472	711
399	473	710
400	474	708
401	475	706
402	475	704
403	476	703
404	477	701
405	478	700
406	479	698
407	480	696
408	480	694
409	481	693
410	482	691
411	483	689
412	484	688
413	484	686
414	485	684
415	486	683
416	487	681
417	488	679
418	489	678
419	490	677
420	492	677
421	493	675
422	494	674
423	495	672
424	496	671
425	496	669
426	497	668
427	498	666
428	499	664
429	500	663
430	500	661
431	501	659
432	502	658
433	503	656
434	504	655
435	505	653
436	505	651
437	506	650
438	507	648
439	508	646
440	509	645
441	509	643
442	510	642
443	511	640
444	512	638
445	513	637
446	513	635
447	514	634
448	515	632
449	516	631
450	517	629
451	517	627
452	518	626
453	519	624
454	520	623
455	521	621
456	521	620
457	522	618
458	523	617
459	524	615
460	525	614
461	525	612
462	526	610
463	527	609
464	528	607
465	529	606
466	529	604
467	530	603
468	531	601
469	532	600
470	533	599
471	534	598
472	535	596
473	536	595
474	537	594
475	538	592
476	539	591
477	540	590
478	541	588
479	541	587
480	542	585
481	543	584
482	544	582
483	545	581
484	546	579
485	547	578
486	547	577
487	548	575
488	549	574
489	550	572
490	550	571
491	551	569
492	552	568
493	553	566
494	554	565
495	554	563
496	555	562
497	556	560
498	557	559
499	558	558
500	558	556
501	559	555
502	560	553
503	561	552
504	562	551
505	563	549
506	564	548
507	565	547
508	566	546
509	567	545
510	568	543
511	569	542
512	570	541
513	571	539
514	571	538
515	572	537
516	573	535
517	574	534
518	575	533
519	576	531
520	577	530
521	577	529
522	578	527
523	579	526
524	580	524
525	581	523
526	581	522
527	582	520
528	583	519
529	584	518
530	585	516
531	585	515
532	586	514
533	587	512
534	588	511
535	589	510
536	589	508
537	590	507
538	591	505
539	592	504
540	593	503
541	594	502
542	595	501
543	596	500
544	597	499
545	598	497
546	599	496
547	600	495
548	601	494
549	602	492
550	603	491
551	603	490
552	604	488
553	605	487
554	606	486
555	606	484
556	607	483
557	608	482
558	609	480
559	610	479
560	611	478
561	611	476
562	612	475
563	613	474
564	614	472
565	615	471
566	615	470
567	616	468
568	617	467
569	618	466
570	618	465
571	619	463
572	620	462
573	621	461
574	622	459
575	622	458
576	623	457
577	624	455
578	625	454
579	626	453
580	626	452
581	627	450
582	628	449
583	629	448
584	630	446
585	630	445
586	631	444
587	632	443
588	633	441
589	634	440
590	634	439
591	636	438
592	637	437
593	638	436
594	639	435
595	640	434
596	641	432
597	642	431
598	643	430
599	644	429
600	645	428
601	645	427
602	646	425
603	647	424
604	648	423
605	649	422
606	649	420
607	650	419
608	651	418
609	652	417
610	653	415
611	654	414
612	654	413
613	655	412
614	656	410
615	657	409
616	658	408
617	658	407
618	659	406
619	660	404
620	661	403
621	662	402
622	662	401
623	663	399
624	664	398
625	665	397
626	666	396
627	666	395
628	667	393
629	668	392
630	669	391
631	670	390
632	670	388
633	671	387
634	672	386
635	673	385
636	674	384
637	674	382
638	675	381
639	676	380
640	677	379
641	678	378
642	678	376
643	679	375
644	680	374
645	681	373
646	682	372
647	683	371
648	684	370
649	685	369
650	686	368
651	687	367
652	688	365
653	689	364
654	690	363
655	691	362
656	692	361
657	693	360
658	693	359
659	694	357
660	695	356
661	696	355
662	697	354
663	697	353
664	698	352
665	699	350
666	700	349
667	701	348
668	702	347
669	703	346
670	703	345
671	704	343
672	705	342
673	706	341
674	707	340
675	707	339
676	708	338
677	709	336
678	710	335
679	711	334
680	712	333
681	712	332
682	713	331
683	714	330
684	715	328
685	716	327
686	716	326
687	717	325
688	718	324
689	719	323
690	720	322
691	720	320
692	721	319
693	722	318
694	723	317
695	724	316
696	724	315
697	725	314
698	726	312
699	727	311
700	729	310
701	730	309
702	731	308
703	731	307
704	732	306
705	733	305
706	734	304
707	735	303
708	736	302
709	737	301
710	737	299
711	738	298
712	739	297
713	740	296
714	741	295
715	742	294
716	742	293
717	743	292
718	744	290
719	745	289
720	746	288
721	746	287
722	747	286
723	748	285
724	749	284
725	750	283
726	750	281
727	751	280
728	752	279
729	753	278
730	754	277
731	755	276
732	756	275
733	757	274
734	758	273
735	759	272
736	760	271
737	761	270
738	762	269
739	763	268
740	764	267
741	764	265
742	765	264
743	766	263
744	767	262
745	767	261
746	768	260
747	769	259
748	770	258
749	771	257
750	772	255
751	772	254
752	773	253
753	774	252
754	775	251
755	776	250
756	777	249
757	777	248
758	778	247
759	779	246
760	780	245
761	781	244
762	782	242
763	782	241
764	783	240
765	784	239
766	785	238
767	786	237
768	786	236
769	787	235
770	788	234
771	789	233
772	790	232
773	791	231
774	792	229
775	792	228
776	793	227
777	794	226
778	795	225
779	795	224
780	796	223
781	797	222
782	798	221
783	799	220
784	799	219
785	800	218
786	801	217
787	803	216
788	804	215
789	805	214
790	806	213
791	807	211
792	808	210
793	809	209
794	809	208
795	810	207
796	811	206
797	812	205
798	813	204
799	813	203
800	814	202
801	815	201
802	816	200
803	817	199
804	818	198
805	818	197
806	819	196
807	820	194
808	821	193
809	822	192
810	823	191
811	823	190
812	824	189
813	825	188
814	826	187
815	826	186
816	827	185
817	828	184
818	829	183
819	830	182
820	831	181
821	831	180
822	832	179
823	833	178
824	834	176
825	835	175
826	835	174
827	836	173
828	837	172
829	838	171
830	839	170
831	839	169
832	840	168
833	841	167
834	842	166
835	842	165
836	843	164
837	844	163
838	845	162
839	846	161
840	846	160
841	847	159
842	848	158
843	849	157
844	850	155
845	851	154
846	851	153
847	852	152
848	853	151
849	854	150
850	855	149
851	856	148
852	856	147
853	857	146
854	858	145
855	859	144
856	860	143
857	861	142
858	862	141
859	863	140
860	863	139
861	864	138
862	865	137
863	866	136
864	867	135
865	868	134
866	869	133
867	870	132
868	871	131
869	872	130
870	873	129
871	874	128
872	875	127
873	877	126
874	878	125
875	879	124
876	880	123
877	881	122
878	882	121
879	883	120
880	884	119
881	885	118
882	886	117
883	887	116
884	888	115
885	889	114
886	890	113
887	891	112
888	892	111
889	893	110
890	894	109
891	895	108
892	895	107
893	896	106
894	897	105
895	898	104
896	899	103
897	900	102
898	901	101
899	902	100
900	903	99
901	904	98
902	906	97
903	907	96
904	908	95
905	909	94
906	910	93
907	911	92
908	912	91
909	913	90
910	914	89
911	915	88
912	916	87
913	917	86
914	918	85
915	919	84
916	920	83
917	921	82
918	921	81
919	922	80
920	923	79
921	924	78
922	925	77
923	925	76
924	926	75
925	927	74
926	928	73
927	929	72
928	930	71
929	931	70
930	931	69
931	932	68
932	933	67
933	934	66
934	935	65
935	936	64
936	936	62
937	937	61
938	938	60
939	939	59
940	940	58
941	940	57
942	941	56
943	942	55
944	943	54
945	944	53
946	944	52
947	945	51
948	946	50
949	947	49
950	948	48
951	949	47
952	950	46
953	951	45
954	952	44
955	953	43
956	954	42
957	955	41
958	956	40
959	957	39
960	958	38
961	959	37
962	959	36
963	960	35
964	961	34
965	962	33
966	963	32
967	964	31
968	964	30
969	965	29
970	966	28
971	967	27
972	968	26
973	969	25
974	969	24
975	970	23
976	971	22
977	972	21
978	973	20
979	973	19
980	974	18
981	975	17
982	976	16
983	977	15
984	978	14
985	979	13
986	980	12
987	981	11
988	982	10
989	983	9
990	984	8
991	985	7
992	986	6
993	987	5
994	988	4
995	988	3
996	989	2
997	990	1
998	991	0
999	992	0
